fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
30043,"Jefferson County, Montana",Montana,21490,153,7.119590507212656,7.119590507212656
30045,"Judith Basin County, Montana",Montana,3900,34,8.717948717948717,8.717948717948717
30047,"Lake County, Montana",Montana,49230,414,8.409506398537477,8.409506398537477
30049,"Lewis and Clark County, Montana",Montana,132260,910,6.880387116286103,6.880387116286103
30051,"Liberty County, Montana",Montana,3940,27,6.852791878172589,6.852791878172589
30053,"Lincoln County, Montana",Montana,31980,249,7.786116322701688,7.786116322701688
30055,"McCone County, Montana",Montana,3540,32,9.03954802259887,9.03954802259887
30057,"Madison County, Montana",Montana,14900,120,8.053691275167786,8.053691275167786
30059,"Meagher County, Montana",Montana,3460,28,8.092485549132947,8.092485549132947
30061,"Mineral County, Montana",Montana,7580,64,8.443271767810026,8.443271767810026
30063,"Missoula County, Montana",Montana,221860,1625,7.3244388353015415,7.3244388353015415
30065,"Musselshell County, Montana",Montana,7930,61,7.6923076923076925,7.6923076923076925
30067,"Park County, Montana",Montana,33750,258,7.644444444444444,7.644444444444444
30069,"Petroleum County, Montana",Montana,780,4,5.128205128205129,6
30071,"Phillips County, Montana",Montana,8040,64,7.960199004975124,7.960199004975124
30073,"Pondera County, Montana",Montana,12050,85,7.053941908713693,7.053941908713693
30075,"Powder River County, Montana",Montana,3290,23,6.990881458966565,6.990881458966565
30077,"Powell County, Montana",Montana,10900,80,7.339449541284404,7.339449541284404
30079,"Prairie County, Montana",Montana,2230,9,4.0358744394618835,6
30081,"Ravalli County, Montana",Montana,76770,598,7.789501107203335,7.789501107203335
30083,"Richland County, Montana",Montana,24440,173,7.0785597381342065,7.0785597381342065
30085,"Roosevelt County, Montana",Montana,17320,151,8.71824480369515,8.71824480369515
30087,"Rosebud County, Montana",Montana,16160,127,7.858910891089109,7.858910891089109
30089,"Sanders County, Montana",Montana,19290,159,8.242612752721618,8.242612752721618
30091,"Sheridan County, Montana",Montana,8110,59,7.274969173859433,7.274969173859433
30093,"Silver Bow County, Montana",Montana,65760,476,7.238442822384428,7.238442822384428
30095,"Stillwater County, Montana",Montana,17370,123,7.081174438687392,7.081174438687392
30097,"Sweet Grass County, Montana",Montana,6920,51,7.369942196531792,7.369942196531792
30099,"Teton County, Montana",Montana,12050,84,6.970954356846473,6.970954356846473
30101,"Toole County, Montana",Montana,9400,61,6.48936170212766,6.48936170212766
30103,"Treasure County, Montana",Montana,1530,4,2.6143790849673203,6
30105,"Valley County, Montana",Montana,14990,114,7.605070046697799,7.605070046697799
30107,"Wheatland County, Montana",Montana,3730,29,7.774798927613941,7.774798927613941
30109,"Wibaux County, Montana",Montana,1990,4,2.0100502512562817,6
30111,"Yellowstone County, Montana",Montana,306400,2178,7.108355091383812,7.108355091383812
31001,"Adams County, Nebraska",Nebraska,57960,415,7.160110420979986,7.160110420979986
31003,"Antelope County, Nebraska",Nebraska,11890,94,7.905803195962994,7.905803195962994
31005,"Arthur County, Nebraska",Nebraska,800,6,7.5,7.5
31007,"Banner County, Nebraska",Nebraska,1210,2,1.6528925619834711,6
31009,"Blaine County, Nebraska",Nebraska,930,5,5.376344086021506,6
31011,"Boone County, Nebraska",Nebraska,10630,76,7.149576669802445,7.149576669802445
31013,"Box Butte County, Nebraska",Nebraska,21220,151,7.115928369462771,7.115928369462771
31015,"Boyd County, Nebraska",Nebraska,3600,30,8.333333333333334,8.333333333333334
31017,"Brown County, Nebraska",Nebraska,5770,48,8.318890814558058,8.318890814558058
31019,"Buffalo County, Nebraska",Nebraska,87190,616,7.065030393393737,7.065030393393737
31021,"Burt County, Nebraska",Nebraska,12490,93,7.44595676541233,7.44595676541233
31023,"Butler County, Nebraska",Nebraska,15660,109,6.960408684546616,6.960408684546616
31025,"Cass County, Nebraska",Nebraska,49e3,336,6.857142857142857,6.857142857142857
31027,"Cedar County, Nebraska",Nebraska,16e3,116,7.25,7.25
31029,"Chase County, Nebraska",Nebraska,7350,54,7.346938775510203,7.346938775510203
31031,"Cherry County, Nebraska",Nebraska,11360,91,8.01056338028169,8.01056338028169
31033,"Cheyenne County, Nebraska",Nebraska,19800,144,7.2727272727272725,7.2727272727272725
31035,"Clay County, Nebraska",Nebraska,11710,86,7.344150298889838,7.344150298889838
31037,"Colfax County, Nebraska",Nebraska,20370,149,7.314678448699067,7.314678448699067
31039,"Cuming County, Nebraska",Nebraska,17600,120,6.8181818181818175,6.8181818181818175
31041,"Custer County, Nebraska",Nebraska,20930,161,7.6923076923076925,7.6923076923076925
31043,"Dakota County, Nebraska",Nebraska,39120,306,7.822085889570552,7.822085889570552
31045,"Dawes County, Nebraska",Nebraska,14570,112,7.687028140013727,7.687028140013727
31047,"Dawson County, Nebraska",Nebraska,45350,359,7.916207276736494,7.916207276736494
31049,"Deuel County, Nebraska",Nebraska,3580,27,7.541899441340782,7.541899441340782
31051,"Dixon County, Nebraska",Nebraska,10910,76,6.966086159486709,6.966086159486709
31053,"Dodge County, Nebraska",Nebraska,69860,491,7.028342399083882,7.028342399083882
31055,"Douglas County, Nebraska",Nebraska,1041480,7558,7.2569804508968,7.2569804508968
31057,"Dundy County, Nebraska",Nebraska,3500,30,8.571428571428571,8.571428571428571
31059,"Fillmore County, Nebraska",Nebraska,11370,83,7.299912049252418,7.299912049252418
31061,"Franklin County, Nebraska",Nebraska,5870,46,7.836456558773424,7.836456558773424
31063,"Frontier County, Nebraska",Nebraska,4570,40,8.752735229759299,8.752735229759299
31065,"Furnas County, Nebraska",Nebraska,9080,69,7.599118942731278,7.599118942731278
31067,"Gage County, Nebraska",Nebraska,41010,294,7.168983174835406,7.168983174835406
31069,"Garden County, Nebraska",Nebraska,3660,32,8.743169398907105,8.743169398907105
31071,"Garfield County, Nebraska",Nebraska,3310,26,7.85498489425982,7.85498489425982
31073,"Gosper County, Nebraska",Nebraska,3970,33,8.312342569269521,8.312342569269521
31075,"Grant County, Nebraska",Nebraska,1330,2,1.5037593984962407,6
31077,"Greeley County, Nebraska",Nebraska,4400,42,9.545454545454547,9.545454545454547
31079,"Hall County, Nebraska",Nebraska,116220,874,7.520220271898124,7.520220271898124
31081,"Hamilton County, Nebraska",Nebraska,18120,128,7.06401766004415,7.06401766004415
31083,"Harlan County, Nebraska",Nebraska,6250,50,8,8
31085,"Hayes County, Nebraska",Nebraska,1730,10,5.780346820809248,6
31087,"Hitchcock County, Nebraska",Nebraska,5260,46,8.745247148288975,8.745247148288975
31089,"Holt County, Nebraska",Nebraska,20300,161,7.931034482758621,7.931034482758621
31091,"Hooker County, Nebraska",Nebraska,1460,4,2.73972602739726,6
31093,"Howard County, Nebraska",Nebraska,11930,92,7.7116512992456,7.7116512992456
31095,"Jefferson County, Nebraska",Nebraska,13780,104,7.547169811320755,7.547169811320755
31097,"Johnson County, Nebraska",Nebraska,8150,61,7.484662576687117,7.484662576687117
31099,"Kearney County, Nebraska",Nebraska,12340,91,7.374392220421394,7.374392220421394
31101,"Keith County, Nebraska",Nebraska,15910,126,7.919547454431176,7.919547454431176
31103,"Keya Paha County, Nebraska",Nebraska,1600,7,4.375,6
31105,"Kimball County, Nebraska",Nebraska,6700,52,7.761194029850746,7.761194029850746
31107,"Knox County, Nebraska",Nebraska,15470,121,7.821590174531351,7.821590174531351
31109,"Lancaster County, Nebraska",Nebraska,557e3,3831,6.877917414721724,6.877917414721724
31111,"Lincoln County, Nebraska",Nebraska,66600,483,7.252252252252252,7.252252252252252
31113,"Logan County, Nebraska",Nebraska,1380,3,2.1739130434782608,6
31115,"Loup County, Nebraska",Nebraska,1120,6,5.357142857142857,6
31117,"McPherson County, Nebraska",Nebraska,820,3,3.658536585365854,6
31119,"Madison County, Nebraska",Nebraska,66940,482,7.200478040035853,7.200478040035853
31121,"Merrick County, Nebraska",Nebraska,14400,108,7.5,7.5
31123,"Morrill County, Nebraska",Nebraska,8730,71,8.132875143184423,8.132875143184423
31125,"Nance County, Nebraska",Nebraska,6450,52,8.062015503875969,8.062015503875969
31127,"Nemaha County, Nebraska",Nebraska,12070,91,7.539353769676885,7.539353769676885
31129,"Nuckolls County, Nebraska",Nebraska,8190,67,8.180708180708182,8.180708180708182
31131,"Otoe County, Nebraska",Nebraska,30110,208,6.908003985386915,6.908003985386915
31133,"Pawnee County, Nebraska",Nebraska,5040,40,7.936507936507936,7.936507936507936
31135,"Perkins County, Nebraska",Nebraska,5420,47,8.671586715867159,8.671586715867159
31137,"Phelps County, Nebraska",Nebraska,17750,130,7.323943661971831,7.323943661971831
31139,"Pierce County, Nebraska",Nebraska,13540,99,7.311669128508124,7.311669128508124
31141,"Platte County, Nebraska",Nebraska,65820,447,6.7912488605287145,6.7912488605287145
31143,"Polk County, Nebraska",Nebraska,10400,75,7.211538461538462,7.211538461538462
31145,"Red Willow County, Nebraska",Nebraska,20330,150,7.378258730939499,7.378258730939499
31147,"Richardson County, Nebraska",Nebraska,15310,116,7.576747224036578,7.576747224036578
31149,"Rock County, Nebraska",Nebraska,2670,13,4.868913857677903,6
31151,"Saline County, Nebraska",Nebraska,25570,178,6.961282753226437,6.961282753226437
31153,"Sarpy County, Nebraska",Nebraska,327740,2172,6.627204491365107,6.627204491365107
31155,"Saunders County, Nebraska",Nebraska,39680,269,6.779233870967742,6.779233870967742
31157,"Scotts Bluff County, Nebraska",Nebraska,66130,504,7.621351882655376,7.621351882655376
31159,"Seward County, Nebraska",Nebraska,30160,198,6.56498673740053,6.56498673740053
31161,"Sheridan County, Nebraska",Nebraska,9460,75,7.928118393234672,7.928118393234672
31163,"Sherman County, Nebraska",Nebraska,5710,46,8.056042031523642,8.056042031523642
31165,"Sioux County, Nebraska",Nebraska,2220,11,4.954954954954955,6
31167,"Stanton County, Nebraska",Nebraska,11040,79,7.155797101449275,7.155797101449275
31169,"Thayer County, Nebraska",Nebraska,9850,70,7.106598984771574,7.106598984771574
31171,"Thomas County, Nebraska",Nebraska,1320,4,3.0303030303030303,6
31173,"Thurston County, Nebraska",Nebraska,10650,99,9.295774647887324,9.295774647887324
31175,"Valley County, Nebraska",Nebraska,7770,65,8.365508365508365,8.365508365508365
